TAZ_ID,TOTPOP,HHPOP,GQPOP,HH,HHSIZE,HHINC,HHWRK,HHVEH,HHSTD,SENHH,TOTEMP,EMP_11,EMP_21,EMP_22,EMP_23,EMP_3133,EMP_42,EMP_4445,EMP_4849,EMP_51,EMP_52,EMP_53,EMP_54,EMP_55,EMP_56,EMP_61,EMP_62,EMP_71,EMP_72,EMP_81,EMP_92,TotHouse,VacHouse,Res,Com,Ind,Agr,Vac,TotLand
3259,2528,2521,7,878,2.87,81690,1.5,2.33,0.57,168,341,3,0,0,25,0,9,26,4,13,13,9,14,0,90,55,0,29,0,18,33,728,1,589,53,0,1409,503,3290
3260,2261,2261,0,780,2.9,100198,1.46,2.1,0.78,117,119,0,0,0,32,0,5,0,0,23,10,0,7,0,0,0,15,9,0,20,0,688,1,308,15,2,326,106,900
3261,2702,2341,361,959,2.44,37893,0.87,1.37,0.47,475,6606,4,0,6,592,128,52,778,150,41,373,67,483,2,642,211,728,57,858,510,922,980,21,323,351,243,190,282,2030
3262,3373,3373,0,1239,2.72,89042,1.29,2.23,0.51,459,5333,24,0,2,258,1472,758,1605,593,5,36,68,143,2,122,6,18,30,76,98,19,1124,1,4490,161,1422,8266,808,16620
3263,1974,1974,0,701,2.82,87053,1.18,2.25,0.51,195,204,32,0,0,29,13,11,23,0,10,21,38,0,0,0,0,0,0,0,26,0,589,1,2238,131,27,7307,812,11350
3264,3363,3117,246,1246,2.5,50226,1.16,1.68,0.47,416,2074,2,0,0,26,33,10,35,27,14,11,51,20,0,10,37,81,21,26,274,1397,1156,1,831,29,35,192,221,1710
3265,1565,1565,0,590,2.65,70502,1.18,2.03,0.51,233,984,4,0,0,149,7,24,463,0,0,11,17,0,0,29,0,135,51,31,62,0,469,1,960,137,2,1058,387,2960
3266,2695,2695,0,1006,2.68,58253,1.13,2.26,0.49,329,689,356,0,0,43,24,14,21,0,8,16,22,9,0,0,53,14,7,26,54,22,976,1,2957,93,153,20125,1080,25970
3267,1751,1751,0,693,2.53,59308,1.17,2.19,0.45,286,130,42,0,0,35,0,16,0,0,0,0,11,0,0,9,0,0,0,0,17,0,630,1,3083,28,0,14058,1525,19730
3268,2578,2578,0,1015,2.54,64902,1.18,2.24,0.46,320,516,142,0,19,65,4,28,17,74,8,16,0,9,0,0,3,0,49,0,35,46,982,1,5828,1851,332,22927,2427,47820
3269,2050,2050,0,779,2.63,60026,1.25,2.17,0.47,272,1761,58,0,0,366,2,12,701,28,14,23,38,32,14,37,22,91,72,190,49,11,716,1,2988,268,37,12057,1535,18110
3270,1450,1450,0,574,2.53,58086,1.03,2.28,0.46,234,80,38,0,0,7,0,3,13,0,0,0,0,0,0,0,0,0,0,0,13,8,598,24,2537,26,0,45033,885,51030
3271,2621,2621,0,984,2.66,59560,1.14,2.27,0.49,313,161,87,0,0,16,0,0,2,0,3,0,2,4,0,19,0,0,10,0,16,0,965,1,5308,1,0,62419,2403,75820
3272,3322,3305,17,1251,2.64,60476,1.25,2.18,0.47,408,2886,80,49,29,120,534,536,116,679,8,21,43,27,2,191,28,113,34,140,75,62,1174,1,5154,383,1104,25668,1632,39110
3273,1796,1796,0,684,2.63,80922,1.23,2.19,0.44,221,144,51,0,0,15,0,3,8,13,0,0,10,0,0,12,17,0,0,0,14,0,574,1,2642,41,782,7815,1067,13340
3274,1875,1875,0,677,2.77,80922,1.31,2.19,0.47,201,930,57,0,0,64,12,126,295,160,3,7,37,23,0,29,86,0,10,9,13,0,565,1,2644,173,502,10820,964,17060
3275,3496,3496,0,1296,2.7,63270,1.19,1.77,0.49,364,211,23,1,0,46,0,7,8,4,9,7,14,14,0,31,0,0,16,0,20,12,1137,1,2636,99,0,2922,530,6690
3276,3070,3070,0,1262,2.43,63270,1.07,1.77,0.44,174,2478,2,0,0,52,513,96,1050,14,45,36,34,37,3,19,0,0,13,493,72,0,1238,1,264,203,132,0,250,1180
